lamda, n_clause, rule_type, partition_size, n_partitions, id_cv, training_time, accuracy
---> Chosen: (5, 2, 'DNF', [16, 17], 17, 5), (mean val acc cv) 0.854435, (test acc holdout) 0.857143, (mean training time) 0.537547
5,2,DNF,[35, 36],8,0,0.387364,0.937500
5,2,DNF,[35, 36],8,1,0.357107,0.843750
5,2,DNF,[35, 36],8,2,0.333270,0.843750
5,2,DNF,[35, 36],8,3,0.337865,0.843750
5,2,DNF,[35, 36],8,4,0.347087,0.937500
5,2,DNF,[35, 36],8,5,0.334422,0.906250
5,2,DNF,[35, 36],8,6,0.354584,0.870968
5,2,DNF,[35, 36],8,7,0.370041,0.967742
5,2,DNF,[35, 36],8,8,0.379789,0.870968
5,2,DNF,[35, 36],8,9,0.353996,0.806452
---> Chosen: (5, 2, 'DNF', [35, 36], 8, 7), (mean val acc cv) 0.882863, (test acc holdout) 0.857143, (mean training time) 0.355553
5,2,DNF,[71, 71],4,0,0.293819,0.875000
5,2,DNF,[71, 71],4,1,0.261927,0.875000
5,2,DNF,[71, 71],4,2,0.416958,0.781250
5,2,DNF,[71, 71],4,3,0.577815,0.906250
5,2,DNF,[71, 71],4,4,0.288801,0.906250
5,2,DNF,[71, 71],4,5,0.370399,0.906250
5,2,DNF,[71, 72],4,6,0.359301,0.903226
5,2,DNF,[71, 72],4,7,0.375177,1.000000
5,2,DNF,[71, 72],4,8,0.401445,0.838710
5,2,DNF,[71, 72],4,9,0.271335,0.935484
---> Chosen: (5, 2, 'DNF', [71, 72], 4, 7), (mean val acc cv) 0.892742, (test acc holdout) 0.857143, (mean training time) 0.361698
5,2,DNF,[142, 142],2,0,0.697042,0.937500
5,2,DNF,[142, 142],2,1,0.313279,0.843750
5,2,DNF,[142, 142],2,2,0.830941,0.875000
5,2,DNF,[142, 142],2,3,0.366764,0.906250
5,2,DNF,[142, 142],2,4,0.567834,0.875000
5,2,DNF,[142, 142],2,5,0.714980,0.937500
5,2,DNF,[142, 143],2,6,0.408207,0.903226
5,2,DNF,[142, 143],2,7,0.647297,0.870968
5,2,DNF,[142, 143],2,8,0.574111,0.806452
5,2,DNF,[142, 143],2,9,0.565515,0.935484
---> Chosen: (5, 2, 'DNF', [142, 142], 2, 0), (mean val acc cv) 0.889113, (test acc holdout) 0.857143, (mean training time) 0.568597
5,3,CNF,[8, 9],35,0,1.000877,0.812500
5,3,CNF,[8, 9],35,1,0.938880,0.562500
5,3,CNF,[8, 9],35,2,0.929436,0.843750
5,3,CNF,[8, 9],35,3,0.939603,0.843750
5,3,CNF,[8, 9],35,4,0.906086,0.781250
5,3,CNF,[8, 9],35,5,0.924068,0.750000
5,3,CNF,[8, 9],35,6,0.942626,0.580645
5,3,CNF,[8, 9],35,7,0.936982,0.709677
5,3,CNF,[8, 9],35,8,0.933579,0.838710
5,3,CNF,[8, 9],35,9,0.950287,0.806452
---> Chosen: (5, 3, 'CNF', [8, 9], 35, 2), (mean val acc cv) 0.752923, (test acc holdout) 0.885714, (mean training time) 0.940242
5,3,CNF,[16, 17],17,0,0.600422,0.781250
5,3,CNF,[16, 17],17,1,0.583467,0.531250
5,3,CNF,[16, 17],17,2,0.542832,0.656250
5,3,CNF,[16, 17],17,3,0.543789,0.812500
5,3,CNF,[16, 17],17,4,0.564776,0.781250
5,3,CNF,[16, 17],17,5,0.553250,0.531250
5,3,CNF,[16, 17],17,6,0.558625,0.709677
5,3,CNF,[16, 17],17,7,0.591198,0.838710
5,3,CNF,[16, 17],17,8,0.568455,0.774194
5,3,CNF,[16, 17],17,9,0.564949,0.774194
---> Chosen: (5, 3, 'CNF', [16, 17], 17, 7), (mean val acc cv) 0.719052, (test acc holdout) 0.857143, (mean training time) 0.567176
5,3,CNF,[35, 36],8,0,0.452227,0.875000
5,3,CNF,[35, 36],8,1,0.407792,0.812500
5,3,CNF,[35, 36],8,2,0.384344,0.812500
5,3,CNF,[35, 36],8,3,0.375451,0.781250
5,3,CNF,[35, 36],8,4,0.366100,0.875000
5,3,CNF,[35, 36],8,5,0.451105,0.718750
5,3,CNF,[35, 36],8,6,0.430283,0.870968
5,3,CNF,[35, 36],8,7,0.441374,0.741935
5,3,CNF,[35, 36],8,8,0.383509,0.774194
5,3,CNF,[35, 36],8,9,0.461718,0.838710
---> Chosen: (5, 3, 'CNF', [35, 36], 8, 0), (mean val acc cv) 0.810081, (test acc holdout) 0.885714, (mean training time) 0.415390
5,3,CNF,[71, 71],4,0,2.028142,0.781250
5,3,CNF,[71, 71],4,1,1.041700,0.843750
5,3,CNF,[71, 71],4,2,3.282128,0.843750
5,3,CNF,[71, 71],4,3,1.420670,0.750000
5,3,CNF,[71, 71],4,4,1.309121,0.843750
5,3,CNF,[71, 71],4,5,0.931152,0.812500
5,3,CNF,[71, 72],4,6,1.841882,0.870968
5,3,CNF,[71, 72],4,7,1.161415,0.870968
5,3,CNF,[71, 72],4,8,2.904636,0.774194
5,3,CNF,[71, 72],4,9,3.450896,0.774194
---> Chosen: (5, 3, 'CNF', [71, 72], 4, 6), (mean val acc cv) 0.816532, (test acc holdout) 0.914286, (mean training time) 1.937174
5,3,CNF,[142, 142],2,0,101.856733,0.875000
5,3,CNF,[142, 142],2,1,48.023199,0.812500
5,3,CNF,[142, 142],2,2,8.771427,0.812500
5,3,CNF,[142, 142],2,3,7.215386,0.843750
5,3,CNF,[142, 142],2,4,31.824189,0.843750
5,3,CNF,[142, 142],2,5,28.616683,0.875000
5,3,CNF,[142, 143],2,6,55.412540,0.935484
5,3,CNF,[142, 143],2,7,38.696182,0.935484
5,3,CNF,[142, 143],2,8,121.927313,0.838710
5,3,CNF,[142, 143],2,9,148.199886,0.838710
---> Chosen: (5, 3, 'CNF', [142, 143], 2, 6), (mean val acc cv) 0.861089, (test acc holdout) 0.857143, (mean training time) 59.054354
5,3,DNF,[8, 9],35,0,1.007326,0.843750
5,3,DNF,[8, 9],35,1,1.004730,0.906250
5,3,DNF,[8, 9],35,2,1.007475,0.968750
5,3,DNF,[8, 9],35,3,1.137123,0.875000
5,3,DNF,[8, 9],35,4,1.064996,0.843750
5,3,DNF,[8, 9],35,5,1.044677,0.968750
5,3,DNF,[8, 9],35,6,1.013976,0.935484
5,3,DNF,[8, 9],35,7,1.043745,0.838710
5,3,DNF,[8, 9],35,8,1.048856,0.903226
5,3,DNF,[8, 9],35,9,1.011547,0.838710
---> Chosen: (5, 3, 'DNF', [8, 9], 35, 2), (mean val acc cv) 0.892238, (test acc holdout) 0.885714, (mean training time) 1.038445
5,3,DNF,[16, 17],17,0,0.631519,0.906250
5,3,DNF,[16, 17],17,1,0.635956,0.843750
5,3,DNF,[16, 17],17,2,0.639805,0.875000
5,3,DNF,[16, 17],17,3,0.618437,0.718750
5,3,DNF,[16, 17],17,4,0.632349,0.843750
5,3,DNF,[16, 17],17,5,0.603539,0.906250
5,3,DNF,[16, 17],17,6,0.615607,0.903226
5,3,DNF,[16, 17],17,7,0.667809,0.935484
5,3,DNF,[16, 17],17,8,0.636873,0.806452
5,3,DNF,[16, 17],17,9,0.643088,0.774194
---> Chosen: (5, 3, 'DNF', [16, 17], 17, 7), (mean val acc cv) 0.851310, (test acc holdout) 0.885714, (mean training time) 0.632498
5,3,DNF,[35, 36],8,0,0.492359,0.875000
5,3,DNF,[35, 36],8,1,0.629308,0.937500
5,3,DNF,[35, 36],8,2,0.550583,0.875000
5,3,DNF,[35, 36],8,3,0.485763,0.906250
5,3,DNF,[35, 36],8,4,0.445503,0.906250
5,3,DNF,[35, 36],8,5,0.471781,0.968750
5,3,DNF,[35, 36],8,6,0.542423,0.935484
5,3,DNF,[35, 36],8,7,0.463979,0.967742
5,3,DNF,[35, 36],8,8,0.442074,0.870968
5,3,DNF,[35, 36],8,9,0.515512,0.741935
---> Chosen: (5, 3, 'DNF', [35, 36], 8, 5), (mean val acc cv) 0.898488, (test acc holdout) 0.942857, (mean training time) 0.503928
5,3,DNF,[71, 71],4,0,0.829343,0.937500
5,3,DNF,[71, 71],4,1,1.514693,0.906250
5,3,DNF,[71, 71],4,2,1.375884,0.906250
5,3,DNF,[71, 71],4,3,0.696930,0.812500
5,3,DNF,[71, 71],4,4,0.736588,0.906250
